team,current_round,team_status
Algeria,32_team,1
Argentina,32_team,1
Australia,32_team,1
Austria,32_team,1
Belgium,32_team,1
Bosnia and Herzegovina,32_team,1
Brazil,16_team,1
Canada,16_team,1
Cape Verde,32_team,1
Colombia,32_team,1
Croatia,32_team,1
Curacao,group_stage,0
Czech Republic,group_stage,0
DR Congo,32_team,1
Ecuador,32_team,0
Egypt,32_team,1
England,32_team,1
France,16_team,1
Germany,32_team,0
Ghana,32_team,1
Haiti,group_stage,0
Iran,group_stage,0
Iraq,group_stage,0
Ivory Coast,32_team,0
Japan,32_team,0
Jordan,group_stage,0
Mexico,16_team,1
Morocco,16_team,1
Netherlands,32_team,0
New Zealand,group_stage,0
Norway,16_team,1
Panama,group_stage,0
Paraguay,16_team,1
Portugal,32_team,1
Qatar,group_stage,0
Saudi Arabia,group_stage,0
Scotland,group_stage,0
Senegal,32_team,1
South Africa,32_team,0
South Korea,group_stage,0
Spain,32_team,1
Sweden,32_team,0
Switzerland,32_team,1
Tunisia,group_stage,0
Turkiye,group_stage,0
Uruguay,group_stage,0
USA,32_team,1
Uzbekistan,group_stage,0
